source,relation,target
Abciximab,has_cas_number,143653-53-6
Abciximab,has_state,liquid
Abciximab,approval_status,approved
Drotrecogin alfa,has_cas_number,98530-76-8
Drotrecogin alfa,has_state,liquid
Drotrecogin alfa,approval_status,approved
Gemtuzumab ozogamicin,has_cas_number,220578-59-6
Gemtuzumab ozogamicin,has_state,liquid
Gemtuzumab ozogamicin,approval_status,approved
Indium In-111 satumomab pendetide,has_cas_number,138955-27-8
Indium In-111 satumomab pendetide,has_state,liquid
Indium In-111 satumomab pendetide,approval_status,experimental
Alpha-1-proteinase inhibitor,has_cas_number,9041-92-3
Alpha-1-proteinase inhibitor,has_state,liquid
Alpha-1-proteinase inhibitor,approval_status,approved
Pegaspargase,has_cas_number,130167-69-0
Pegaspargase,has_state,liquid
Pegaspargase,approval_status,approved
Interferon beta-1a,has_cas_number,145258-61-3
Interferon beta-1a,has_state,liquid
Interferon beta-1a,approval_status,approved
Pegademase,has_cas_number,130167-68-9
Pegademase,has_state,liquid
Pegademase,approval_status,approved
Albumin human,has_cas_number,9048-46-8
Albumin human,has_state,solid
Albumin human,approval_status,approved
Eptifibatide,has_cas_number,188627-80-7
Eptifibatide,has_state,liquid
Eptifibatide,approval_status,approved
Infliximab,has_cas_number,170277-31-3
Infliximab,has_state,liquid
Infliximab,approval_status,approved
Follitropin,has_cas_number,146479-72-3
Follitropin,has_state,liquid
Follitropin,approval_status,approved
Vasopressin,has_cas_number,11000-17-2
Vasopressin,has_state,solid
Vasopressin,approval_status,approved
Interferon beta-1b,has_cas_number,145155-23-3
Interferon beta-1b,has_state,liquid
Interferon beta-1b,approval_status,approved
Interferon alfacon-1,has_cas_number,118390-30-0
Interferon alfacon-1,has_state,liquid
Interferon alfacon-1,approval_status,approved
Hyaluronidase (ovine),has_cas_number,488712-31-8
Hyaluronidase (ovine),has_state,liquid
Hyaluronidase (ovine),approval_status,approved
Insulin pork,has_cas_number,12584-58-6
Insulin pork,has_state,liquid
Insulin pork,approval_status,approved
Trastuzumab,has_cas_number,180288-69-1
Trastuzumab,has_state,solid
Trastuzumab,approval_status,approved
Rituximab,has_cas_number,174722-31-7
Rituximab,has_state,liquid
Rituximab,approval_status,approved
Basiliximab,has_cas_number,179045-86-4
Basiliximab,has_state,liquid
Basiliximab,approval_status,approved
Muromonab,has_cas_number,140608-64-6
Muromonab,has_state,liquid
Muromonab,approval_status,approved
Digoxin Immune Fab (Ovine),has_state,liquid
Digoxin Immune Fab (Ovine),approval_status,approved
Ibritumomab tiuxetan,has_cas_number,206181-63-7
Ibritumomab tiuxetan,has_state,liquid
Ibritumomab tiuxetan,approval_status,approved
Daptomycin,has_cas_number,103060-53-3
Daptomycin,has_state,solid
Daptomycin,approval_status,approved
Tositumomab,has_cas_number,208921-02-2
Tositumomab,has_state,liquid
Tositumomab,approval_status,approved
Pegvisomant,has_cas_number,218620-50-9
Pegvisomant,has_state,liquid
Pegvisomant,approval_status,approved
Botulinum toxin type A,has_cas_number,93384-43-1
Botulinum toxin type A,has_state,solid
Botulinum toxin type A,approval_status,approved
Pancrelipase,has_cas_number,53608-75-6
Pancrelipase,has_state,solid
Pancrelipase,approval_status,approved
Streptokinase,has_cas_number,9002-01-1
Streptokinase,has_state,liquid
Streptokinase,approval_status,approved
Alemtuzumab,has_cas_number,216503-57-0
Alemtuzumab,has_state,liquid
Alemtuzumab,approval_status,approved
Alglucerase,has_cas_number,143003-46-7
Alglucerase,has_state,liquid
Alglucerase,approval_status,approved
Capromab pendetide,has_cas_number,145464-28-4
Capromab pendetide,has_state,liquid
Capromab pendetide,approval_status,approved
Laronidase,has_cas_number,210589-09-6
Laronidase,has_state,liquid
Laronidase,approval_status,approved
Cyclosporine,has_cas_number,59865-13-3
Cyclosporine,has_state,solid
Cyclosporine,approval_status,approved
Alefacept,has_cas_number,222535-22-0
Alefacept,has_state,liquid
Alefacept,approval_status,approved
Felypressin,has_cas_number,56-59-7
Felypressin,has_state,solid
Felypressin,approval_status,experimental
Urofollitropin,has_cas_number,97048-13-0
Urofollitropin,has_state,liquid
Urofollitropin,approval_status,approved
Efalizumab,has_cas_number,214745-43-4
Efalizumab,has_state,liquid
Efalizumab,approval_status,approved
Choriogonadotropin alfa,has_cas_number,177073-44-8
Choriogonadotropin alfa,has_state,solid
Choriogonadotropin alfa,approval_status,approved
Antithymocyte immunoglobulin (rabbit),has_cas_number,308067-60-9
Antithymocyte immunoglobulin (rabbit),has_state,liquid
Antithymocyte immunoglobulin (rabbit),approval_status,approved
Filgrastim,has_cas_number,121181-53-1
Filgrastim,has_state,liquid
Filgrastim,approval_status,approved
Coagulation Factor IX (Recombinant),has_cas_number,181054-95-5
Coagulation Factor IX (Recombinant),has_state,liquid
Coagulation Factor IX (Recombinant),approval_status,approved
Becaplermin,has_cas_number,165101-51-9
Becaplermin,has_state,liquid
Becaplermin,approval_status,approved
Agalsidase beta,has_state,liquid
Agalsidase beta,approval_status,approved
Octreotide,has_cas_number,83150-76-9
Octreotide,has_state,solid
Octreotide,approval_status,approved
Interferon alfa-2b,has_cas_number,98530-12-2
Interferon alfa-2b,has_state,liquid
Interferon alfa-2b,approval_status,approved
Abarelix,has_cas_number,183552-38-7
Abarelix,has_state,solid
Abarelix,approval_status,approved
Oxytocin,has_cas_number,50-56-6
Oxytocin,has_state,liquid
Oxytocin,approval_status,approved
Natalizumab,has_cas_number,189261-10-7
Natalizumab,has_state,liquid
Natalizumab,approval_status,approved
Enfuvirtide,has_cas_number,159519-65-0
Enfuvirtide,has_state,solid
Enfuvirtide,approval_status,approved
Palivizumab,has_cas_number,188039-54-5
Palivizumab,has_state,liquid
Palivizumab,approval_status,approved
Daclizumab,has_cas_number,152923-56-3
Daclizumab,has_state,liquid
Daclizumab,approval_status,investigational
Bevacizumab,has_cas_number,216974-75-3
Bevacizumab,has_state,liquid
Bevacizumab,approval_status,approved
Technetium Tc-99m arcitumomab,has_cas_number,154361-49-6
Technetium Tc-99m arcitumomab,has_state,liquid
Technetium Tc-99m arcitumomab,approval_status,experimental
Pyridoxal phosphate,has_cas_number,54-47-7
Pyridoxal phosphate,has_state,solid
Pyridoxal phosphate,approval_status,approved
Cyanocobalamin,has_cas_number,68-19-9
Cyanocobalamin,has_state,solid
Cyanocobalamin,approval_status,approved
Tetrahydrofolic acid,has_cas_number,135-16-0
Tetrahydrofolic acid,has_state,solid
Tetrahydrofolic acid,approval_status,nutraceutical
Histidine,has_cas_number,71-00-1
Histidine,has_state,solid
Histidine,approval_status,investigational
Ademetionine,has_cas_number,29908-03-0
Ademetionine,has_state,solid
Ademetionine,approval_status,approved
Pyruvic acid,has_cas_number,127-17-3
Pyruvic acid,has_state,liquid
Pyruvic acid,approval_status,approved
Phenylalanine,has_cas_number,63-91-2
Phenylalanine,has_state,solid
Phenylalanine,approval_status,approved
Biotin,has_cas_number,58-85-5
Biotin,has_state,solid
Biotin,approval_status,approved
Choline,has_cas_number,62-49-7
Choline,has_state,liquid
Choline,approval_status,approved
Lysine,has_cas_number,56-87-1
Lysine,has_state,solid
Lysine,approval_status,approved
Arginine,has_cas_number,74-79-3
Arginine,has_state,solid
Arginine,approval_status,investigational
Ascorbic acid,has_cas_number,50-81-7
Ascorbic acid,has_state,solid
Ascorbic acid,approval_status,approved
Spermine,has_cas_number,71-44-3
Spermine,has_state,solid
Spermine,approval_status,experimental
Aspartic acid,has_cas_number,56-84-8
Aspartic acid,has_state,solid
Aspartic acid,approval_status,approved
Ornithine,has_cas_number,70-26-8
Ornithine,has_state,solid
Ornithine,approval_status,approved
L-Glutamine,has_cas_number,56-85-9
L-Glutamine,has_state,solid
L-Glutamine,approval_status,approved
Adenosine phosphate,has_cas_number,61-19-8
Adenosine phosphate,has_state,solid
Adenosine phosphate,approval_status,approved
alpha-Linolenic acid,has_cas_number,463-40-1
alpha-Linolenic acid,has_state,liquid
alpha-Linolenic acid,approval_status,approved
Serine,has_cas_number,56-45-1
Serine,has_state,solid
Serine,approval_status,investigational
Methionine,has_cas_number,63-68-3
Methionine,has_state,solid
Methionine,approval_status,approved
Tyrosine,has_cas_number,60-18-4
Tyrosine,has_state,solid
Tyrosine,approval_status,approved
Calcitriol,has_cas_number,32222-06-3
Calcitriol,has_state,solid
Calcitriol,approval_status,approved
Lutein,has_cas_number,127-40-2
Lutein,has_state,liquid
Lutein,approval_status,approved
Cystine,has_cas_number,56-89-3
Cystine,has_state,solid
Cystine,approval_status,approved
Succinic acid,has_cas_number,110-15-6
Succinic acid,has_state,solid
Succinic acid,approval_status,approved
Riboflavin,has_cas_number,83-88-5
Riboflavin,has_state,solid
Riboflavin,approval_status,approved
N-Acetylglucosamine,has_cas_number,7512-17-6
N-Acetylglucosamine,has_state,solid
N-Acetylglucosamine,approval_status,approved
Glutamic acid,has_cas_number,56-86-0
Glutamic acid,has_state,solid
Glutamic acid,approval_status,approved
Glutathione,has_cas_number,70-18-8
Glutathione,has_state,solid
Glutathione,approval_status,approved
Phosphatidyl serine,has_cas_number,1446756-47-3
Phosphatidyl serine,has_state,solid
Phosphatidyl serine,approval_status,investigational
Glycine,has_cas_number,56-40-6
Glycine,has_state,solid
Glycine,approval_status,approved
Calcifediol,has_cas_number,19356-17-3
Calcifediol,has_state,solid
Calcifediol,approval_status,approved
Pyridoxal,has_cas_number,66-72-8
Pyridoxal,has_state,solid
Pyridoxal,approval_status,experimental
Creatine,has_cas_number,57-00-1
Creatine,has_state,solid
Creatine,approval_status,approved
Leucine,has_cas_number,61-90-5
Leucine,has_state,solid
Leucine,approval_status,investigational
Tryptophan,has_cas_number,73-22-3
Tryptophan,has_state,solid
Tryptophan,approval_status,approved
Cysteine,has_cas_number,52-90-4
Cysteine,has_state,solid
Cysteine,approval_status,approved
Thiamine,has_cas_number,70-16-6
Thiamine,has_state,solid
Thiamine,approval_status,approved
Ergocalciferol,has_cas_number,50-14-6
Ergocalciferol,has_state,solid
Ergocalciferol,approval_status,approved
Dihomo-gamma-linolenic acid,has_cas_number,1783-84-2
Dihomo-gamma-linolenic acid,has_state,solid
Dihomo-gamma-linolenic acid,approval_status,investigational
Citrulline,has_cas_number,372-75-8
Citrulline,has_state,solid
Citrulline,approval_status,investigational
Threonine,has_cas_number,72-19-5
Threonine,has_state,solid
Threonine,approval_status,approved
NADH,has_cas_number,58-68-4
NADH,has_state,solid
NADH,approval_status,approved
Folic acid,has_cas_number,59-30-3
Folic acid,has_state,solid
Folic acid,approval_status,approved
Icosapent,has_cas_number,10417-94-4
Icosapent,has_state,liquid
Icosapent,approval_status,approved
Alanine,has_cas_number,56-41-7
Alanine,has_state,solid
Alanine,approval_status,nutraceutical
Valine,has_cas_number,72-18-4
Valine,has_state,solid
Valine,approval_status,approved
Vitamin A,has_cas_number,68-26-8
Vitamin A,has_state,solid
Vitamin A,approval_status,approved
Vitamin E,has_cas_number,59-02-9
Vitamin E,has_state,solid
Vitamin E,approval_status,approved
Pyridoxine,has_cas_number,65-23-6
Pyridoxine,has_state,solid
Pyridoxine,approval_status,approved
Lipoic acid,has_cas_number,1200-22-2
Lipoic acid,has_state,solid
Lipoic acid,approval_status,approved
Isoleucine,has_cas_number,73-32-5
Isoleucine,has_state,solid
Isoleucine,approval_status,investigational
Aspartame,has_cas_number,22839-47-0
Aspartame,has_state,solid
Aspartame,approval_status,investigational
Cholecalciferol,has_cas_number,67-97-0
Cholecalciferol,has_state,solid
Cholecalciferol,approval_status,approved
Menadione,has_cas_number,58-27-5
Menadione,has_state,solid
Menadione,approval_status,approved
ATP,has_cas_number,56-65-5
ATP,has_state,solid
ATP,approval_status,investigational
Proline,has_cas_number,147-85-3
Proline,has_state,solid
Proline,approval_status,nutraceutical
Adenine,has_cas_number,73-24-5
Adenine,has_state,solid
Adenine,approval_status,approved
Asparagine,has_cas_number,70-47-3
Asparagine,has_state,solid
Asparagine,approval_status,approved
Pravastatin,has_cas_number,81093-37-0
Pravastatin,has_state,solid
Pravastatin,approval_status,approved
Fluvoxamine,has_cas_number,54739-18-3
Fluvoxamine,has_state,solid
Fluvoxamine,approval_status,approved
Valsartan,has_cas_number,137862-53-4
Valsartan,has_state,solid
Valsartan,approval_status,approved
Ramipril,has_cas_number,87333-19-5
Ramipril,has_state,solid
Ramipril,approval_status,approved
Masoprocol,has_cas_number,27686-84-6
Masoprocol,has_state,solid
Masoprocol,approval_status,approved
Flunisolide,has_cas_number,3385-03-3
Flunisolide,has_state,solid
Flunisolide,approval_status,approved
Baclofen,has_cas_number,1134-47-0
Baclofen,has_state,solid
Baclofen,approval_status,approved
Amphetamine,has_cas_number,300-62-9
Amphetamine,has_state,liquid
Amphetamine,approval_status,approved
Pentagastrin,has_cas_number,5534-95-2
Pentagastrin,has_state,solid
Pentagastrin,approval_status,approved
Nicotine,has_cas_number,54-11-5
Nicotine,has_state,liquid
Nicotine,approval_status,approved
Cevimeline,has_cas_number,107233-08-9
Cevimeline,has_state,solid
Cevimeline,approval_status,approved
Lorazepam,has_cas_number,846-49-1
Lorazepam,has_state,solid
Lorazepam,approval_status,approved
Esmolol,has_cas_number,81147-92-4
Esmolol,has_state,solid
Esmolol,approval_status,approved
Bortezomib,has_cas_number,179324-69-7
Bortezomib,has_state,solid
Bortezomib,approval_status,approved
Ethchlorvynol,has_cas_number,113-18-8
Ethchlorvynol,has_state,liquid
Ethchlorvynol,approval_status,approved
Carbidopa,has_cas_number,28860-95-9
Carbidopa,has_state,solid
Carbidopa,approval_status,approved
Phentermine,has_cas_number,122-09-8
Phentermine,has_state,solid
Phentermine,approval_status,approved
Indecainide,has_cas_number,74517-78-5
Indecainide,has_state,solid
Indecainide,approval_status,approved
Tramadol,has_cas_number,27203-92-5
Tramadol,has_state,solid
Tramadol,approval_status,approved
Vidarabine,has_cas_number,24356-66-9
Vidarabine,has_state,solid
Vidarabine,approval_status,approved
Betaxolol,has_cas_number,63659-18-7
Betaxolol,has_state,solid
Betaxolol,approval_status,approved
Fluconazole,has_cas_number,86386-73-4
Fluconazole,has_state,solid
Fluconazole,approval_status,approved
Troglitazone,has_cas_number,97322-87-7
Troglitazone,has_state,solid
Troglitazone,approval_status,approved
Oseltamivir,has_cas_number,196618-13-0
Oseltamivir,has_state,solid
Oseltamivir,approval_status,approved
Erythromycin,has_cas_number,114-07-8
Erythromycin,has_state,solid
Erythromycin,approval_status,approved
Hydroxocobalamin,has_cas_number,13422-51-0
Hydroxocobalamin,has_state,solid
Hydroxocobalamin,approval_status,approved
Caffeine,has_cas_number,58-08-2
Caffeine,has_state,solid
Caffeine,approval_status,approved
Succinylcholine,has_cas_number,306-40-1
Succinylcholine,has_state,solid
Succinylcholine,approval_status,approved
Sildenafil,has_cas_number,139755-83-2
Sildenafil,has_state,solid
Sildenafil,approval_status,approved
Dofetilide,has_cas_number,115256-11-6
Dofetilide,has_state,solid
Dofetilide,approval_status,approved
Pyrimethamine,has_cas_number,58-14-0
Pyrimethamine,has_state,solid
Pyrimethamine,approval_status,approved
Reserpine,has_cas_number,50-55-5
Reserpine,has_state,solid
Reserpine,approval_status,approved
Azithromycin,has_cas_number,83905-01-5
Azithromycin,has_state,solid
Azithromycin,approval_status,approved
Ticlopidine,has_cas_number,55142-85-3
Ticlopidine,has_state,solid
Ticlopidine,approval_status,approved
Trospium,has_cas_number,47608-32-2
Trospium,has_state,solid
Trospium,approval_status,approved
Adapalene,has_cas_number,106685-40-9
Adapalene,has_state,solid
Adapalene,approval_status,approved
Midodrine,has_cas_number,42794-76-3
Midodrine,has_state,solid
Midodrine,approval_status,approved
Remikiren,has_cas_number,126222-34-2
Remikiren,has_state,solid
Remikiren,approval_status,experimental
Pantoprazole,has_cas_number,102625-70-7
Pantoprazole,has_state,solid
Pantoprazole,approval_status,approved
Torasemide,has_cas_number,56211-40-6
Torasemide,has_state,solid
Torasemide,approval_status,approved
Citalopram,has_cas_number,59729-33-8
Citalopram,has_state,solid
Citalopram,approval_status,approved
Eletriptan,has_cas_number,143322-58-1
Eletriptan,has_state,solid
Eletriptan,approval_status,approved
Bethanidine,has_cas_number,55-73-2
Bethanidine,has_state,solid
Bethanidine,approval_status,approved
Moxifloxacin,has_cas_number,151096-09-2
Moxifloxacin,has_state,solid
Moxifloxacin,approval_status,approved
Oxyphenonium,has_cas_number,14214-84-7
Oxyphenonium,has_state,solid
Oxyphenonium,approval_status,approved
Nelfinavir,has_cas_number,159989-64-7
Nelfinavir,has_state,solid
Nelfinavir,approval_status,approved
Isoetharine,has_cas_number,79490-84-9
Isoetharine,has_state,solid
Isoetharine,approval_status,approved
Glimepiride,has_cas_number,93479-97-1
Glimepiride,has_state,solid
Glimepiride,approval_status,approved
Diflorasone,has_cas_number,2557-49-5
Diflorasone,has_state,solid
Diflorasone,approval_status,approved
Indinavir,has_cas_number,150378-17-9
Indinavir,has_state,solid
Indinavir,approval_status,approved
Gadodiamide,has_cas_number,131410-48-5
Gadodiamide,has_state,liquid
Gadodiamide,approval_status,approved
Guanadrel,has_cas_number,40580-59-4
Guanadrel,has_state,solid
Guanadrel,approval_status,approved
Lovastatin,has_cas_number,75330-75-5
Lovastatin,has_state,solid
Lovastatin,approval_status,approved
Enflurane,has_cas_number,13838-16-9
Enflurane,has_state,liquid
Enflurane,approval_status,approved
Cefotiam,has_cas_number,61622-34-2
Cefotiam,has_state,solid
Cefotiam,approval_status,approved
Pregabalin,has_cas_number,148553-50-8
Pregabalin,has_state,solid
Pregabalin,approval_status,approved
Temazepam,has_cas_number,846-50-4
Temazepam,has_state,solid
Temazepam,approval_status,approved
Methyclothiazide,has_cas_number,135-07-9
Methyclothiazide,has_state,solid
Methyclothiazide,approval_status,withdrawn
Aminosalicylic acid,has_cas_number,65-49-6
Aminosalicylic acid,has_state,solid
Aminosalicylic acid,approval_status,approved
Reboxetine,has_cas_number,71620-89-8
Reboxetine,has_state,solid
Reboxetine,approval_status,approved
Milrinone,has_cas_number,78415-72-2
Milrinone,has_state,solid
Milrinone,approval_status,approved
Pipobroman,has_cas_number,54-91-1
Pipobroman,has_state,solid
Pipobroman,approval_status,approved
Butabarbital,has_cas_number,125-40-6
Butabarbital,has_state,solid
Butabarbital,approval_status,approved
Nevirapine,has_cas_number,129618-40-2
Nevirapine,has_state,solid
Nevirapine,approval_status,approved
Oxiconazole,has_cas_number,64211-45-6
Oxiconazole,has_state,solid
Oxiconazole,approval_status,approved
Alclometasone,has_cas_number,67452-97-5
Alclometasone,has_state,solid
Alclometasone,approval_status,approved
Butalbital,has_cas_number,77-26-9
Butalbital,has_state,solid
Butalbital,approval_status,approved
Cladribine,has_cas_number,4291-63-8
Cladribine,has_state,solid
Cladribine,approval_status,approved
Ranolazine,has_cas_number,95635-55-5
Ranolazine,has_state,solid
Ranolazine,approval_status,approved
Mesalazine,has_cas_number,89-57-6
Mesalazine,has_state,solid
Mesalazine,approval_status,approved
Benzatropine,has_cas_number,86-13-5
Benzatropine,has_state,solid
Benzatropine,approval_status,approved
Ziprasidone,has_cas_number,146939-27-7
Ziprasidone,has_state,solid
Ziprasidone,approval_status,approved
Methysergide,has_cas_number,361-37-5
Methysergide,has_state,solid
Methysergide,approval_status,approved
Cabergoline,has_cas_number,81409-90-7
Cabergoline,has_state,solid
Cabergoline,approval_status,approved
Idoxuridine,has_cas_number,54-42-2
Idoxuridine,has_state,solid
Idoxuridine,approval_status,approved
Dapsone,has_cas_number,80-08-0
Dapsone,has_state,solid
Dapsone,approval_status,approved
Terconazole,has_cas_number,67915-31-5
Terconazole,has_state,solid
Terconazole,approval_status,approved
Phenytoin,has_cas_number,57-41-0
Phenytoin,has_state,solid
Phenytoin,approval_status,approved
Medrysone,has_cas_number,2668-66-8
Medrysone,has_state,solid
Medrysone,approval_status,approved
Doxycycline,has_cas_number,564-25-0
Doxycycline,has_state,solid
Doxycycline,approval_status,approved
Diethylstilbestrol,has_cas_number,56-53-1
Diethylstilbestrol,has_state,solid
Diethylstilbestrol,approval_status,approved
Lymecycline,has_cas_number,992-21-2
Lymecycline,has_state,solid
Lymecycline,approval_status,approved
Clotrimazole,has_cas_number,23593-75-1
Clotrimazole,has_state,solid
Clotrimazole,approval_status,approved
Calcium acetate,has_cas_number,62-54-4
Calcium acetate,has_state,solid
Calcium acetate,approval_status,approved
Sulfanilamide,has_cas_number,63-74-1
Sulfanilamide,has_state,solid
Sulfanilamide,approval_status,approved
Cycloserine,has_cas_number,68-41-7
Cycloserine,has_state,solid
Cycloserine,approval_status,approved
Anagrelide,has_cas_number,68475-42-3
Anagrelide,has_state,solid
Anagrelide,approval_status,approved
Carmustine,has_cas_number,154-93-8
Carmustine,has_state,solid
Carmustine,approval_status,approved
Sulfisoxazole,has_cas_number,127-69-5
Sulfisoxazole,has_state,solid
Sulfisoxazole,approval_status,approved
Metoprolol,has_cas_number,51384-51-1
Metoprolol,has_state,solid
Metoprolol,approval_status,approved
Crotamiton,has_cas_number,483-63-6
Crotamiton,has_state,liquid
Crotamiton,approval_status,approved
Dicoumarol,has_cas_number,66-76-2
Dicoumarol,has_state,solid
Dicoumarol,approval_status,approved
Cefmenoxime,has_cas_number,65085-01-0
Cefmenoxime,has_state,solid
Cefmenoxime,approval_status,approved
Ropinirole,has_cas_number,91374-21-9
Ropinirole,has_state,solid
Ropinirole,approval_status,approved
Chlorotrianisene,has_cas_number,569-57-3
Chlorotrianisene,has_state,solid
Chlorotrianisene,approval_status,investigational
Isradipine,has_cas_number,75695-93-1
Isradipine,has_state,solid
Isradipine,approval_status,approved
Diatrizoate,has_cas_number,117-96-4
Diatrizoate,has_state,solid
Diatrizoate,approval_status,approved
Betazole,has_cas_number,105-20-4
Betazole,has_state,liquid
Betazole,approval_status,approved
Topiramate,has_cas_number,97240-79-4
Topiramate,has_state,solid
Topiramate,approval_status,approved
Cefmetazole,has_cas_number,56796-20-4
Cefmetazole,has_state,solid
Cefmetazole,approval_status,approved
Olmesartan,has_cas_number,144689-24-7
Olmesartan,has_state,solid
Olmesartan,approval_status,approved
Amsacrine,has_cas_number,51264-14-3
Amsacrine,has_state,solid
Amsacrine,approval_status,approved
Theophylline,has_cas_number,58-55-9
Theophylline,has_state,solid
